date,time_entry,side,trendline_direction,slope_usd_per_hour,trendline_price_at_break,retest_level,retest_bar_low,retest_bar_high,retest_bar_close,entry_premium,exit_premium_avg,tp1_premium,runner_exit_premium,qty,dollar_pnl,exit_reason,hold_minutes,setup
2026-04-15,12:05,P,ascending,0.9709,697.22,697.5599975585938,696.9299926757812,697.469970703125,697.4299926757812,0.85,0.86,,0.86,3,4.36,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-04-16,13:00,P,ascending,0.16,700.89,700.85,700.469970703125,700.8900146484375,700.5999755859375,1.18,1.15,,1.15,3,-7.11,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-04-17,11:45,P,ascending,0.3994,710.49,711.3499755859375,710.4299926757812,711.25,710.7999877929688,1.17,1.03,,1.03,3,-42.53,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-04-23,11:50,P,ascending,0.0847,711.51,711.2,710.7100219726562,711.2449951171875,710.780029296875,1.3,1.12,,1.12,3,-53.7,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-04-24,13:15,P,ascending,1.0703,713.39,713.38,713.0399780273438,713.3699951171875,713.0750122070312,0.9,0.86,,0.86,3,-12.87,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-04-27,12:25,P,descending,-0.1663,713.97,713.97998046875,713.7899780273438,714.0090942382812,713.8599853515625,1.13,0.97,,0.97,3,-47.95,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-04-29,11:15,P,descending,-0.0562,710.95,710.786,710.10498046875,710.869873046875,710.6699829101562,1.37,1.28,,1.28,3,-28.6,ExitReason.EXIT_ALL_LEVEL_STOP,5,TRENDLINE_BREAK_RETEST
2026-04-30,12:30,P,ascending,1.416,715.23,715.3900146484375,715.02001953125,715.3300170898438,715.0499877929688,0.96,0.89,,0.89,3,-20.26,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-05-06,11:40,P,ascending,2.2875,732.14,731.7,730.9400024414062,731.7100219726562,731.3300170898438,0.96,0.85,,0.85,3,-34.33,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
2026-05-06,12:35,P,ascending,0.3635,731.83,731.7,731.47998046875,731.7603759765625,731.6701049804688,1.16,1.19,,1.19,3,8.81,ExitReason.EXIT_ALL_RIBBON_FLIP_BACK,5,TRENDLINE_BREAK_RETEST
